Kyrgyzstan,1.9,1,2.8,6,14.3,14.1,16.4,17.3,8.9,16.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lebanon,2.1,1.8,4.8,7.5,15.2,15.3,18.9,16.1,9.2,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Libya,4.5,1.3,2.7,3.3,15.5,8.5,12.7,12.9,8.6,29.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,0.7,0.6,2,2.8,11.6,16,23.2,22.8,7.8,12.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,1.4,1.2,0.6,1.4,4.1,3.4,7,21,16.4,43.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,4.2,3,7.1,7.7,31.6,9.7,8.1,7.7,2.4,16.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,0.2,0.3,1.4,1.8,3.3,9.3,26,38.5,14.6,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,1.1,1,2.4,2.9,5.9,8.6,15,27.8,16.2,17.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nigeria,3.4,4.7,6.9,10.4,10.2,11.4,18,18.1,9.1,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,1.9,0.6,2.4,4.7,5.4,12.1,15.5,19.8,17.3,20.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peru,1.7,1.7,2.1,4,14.6,12.9,17.7,15.8,8.3,20.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philippines,8.1,1.1,2.8,2,13.7,6.9,8,13.7,6.7,37.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,2.2,0.7,1.5,3.7,14.3,10.2,18.1,27.4,11.7,10.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qatar,1.1,0.4,1,1,8.6,9.1,12.6,20.9,14.9,30.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,5.3,2.3,3.5,4.4,12.7,11.1,18.5,20.1,8.1,13.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russia,3.1,3.2,5.3,7.6,18.7,14.6,16.4,16.6,6.4,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,0.6,1.2,2.2,6.2,13.4,27.8,22.1,18.3,5.8,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Singapore,0.3,1.3,1.9,4,9,15.8,28.5,26.1,7.8,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,0.7,0.7,3,2.7,11.8,10.9,14.1,26.3,15.2,13.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,4.1,2.5,4.3,6.2,11.7,12.2,18,20.2,10,10.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zimbabwe,4.9,3.4,6.7,9.3,23.4,15.3,14.6,9.5,4.4,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,0.9,0.9,2.3,4.6,13.6,15,25.2,22.8,7.3,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,0.4,0.3,2.2,2.9,7.5,6.7,21.6,30.4,16.2,11.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thailand,0.6,0.3,1.2,2.3,12.6,13.4,15.3,18.7,12.7,22.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,1.5,1.4,1.5,3.3,12,8.2,16.9,22,10.4,22.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tunisia,11.2,4.4,5.5,4.8,23.2,14.9,14.7,6.7,2.9,11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,2.2,1.7,2.6,3.6,8.2,10.7,19.4,22.7,14.8,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ukraine,6.9,4,8.4,6.8,16.3,12.4,14.6,17,6.8,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,19.6,6.6,13.9,6.2,9.8,7.9,12.5,14.6,4.1,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,1.2,1.3,2.5,4.5,7.2,7.2,17.1,30.1,18.9,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uruguay,2.2,1.7,1.1,1.4,6.7,8.5,17.9,26.1,14.9,18.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uzbekistan,0.7,0.3,1,2.4,6.1,11.3,16.3,20.6,14.1,26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yemen,7.5,5.2,8.9,5.8,19.1,8.4,12,12.3,9.2,10.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
