Country,Wave3,Wave4,Wave5,Wave6
Qatar,94479.6,116773.4,124358.4,131570
Romania,10284.2,11494.8,16121.6,17700.8
Russia,11697.4,14887.8,20479.4,22877.4
Rwanda,749.4,849.4,1096.2,1379.4
St. Kitts and Nevis,17775.2,19438.6,21953,20693.4
St. Lucia,9287.8,9825.2,10650.8,10278.8
St. Vincent and the Grenadines,6812.2,8267.4,10107.2,10024.6
Samoa,3920.6,4762.6,5520.2,5552.2
San Marino,45581.8,52547.2,53487,41509
Sao Tome and Principe,2181.4,2233.6,2553,2836
Saudi Arabia,36775.6,36441.6,41755.8,49826.8
Senegal,1810,1964.2,2132.6,2182
Serbia,7539.2,8744.8,11646.6,12596.8
Seychelles,16936,17481.6,19537.4,23289.6
Sierra Leone,1014.6,1056,1237,1630.6
Singapore,46777.6,53279.8,65052.4,75862.8
Slovak Republic,14249.6,16666.4,22426.2,25408.4
Slovenia,19852.2,23981.6,28724.8,27995.6
Solomon Islands,2184,1565.8,1714.2,1971.4
Somalia,622,607.6,615.2,616.8
South Africa,9828.6,10245,11789.6,12330.6
Spain,27334.6,31807.8,34053,32318
Sri Lanka,4376.4,5181.8,6527.8,8801.8
Sudan,2085.2,2421,3026.4,3701
Suriname,10057.4,10687.8,13010.8,15345.2
Swaziland,5153.4,5356.6,5789,5934.8
Sweden,32757.2,38193.4,42460.6,43469.4
Switzerland,45941.8,49291.6,53307.4,54813.2
Syria,5287.2,5356.2,6092.6,5992.4
Taiwan,30303.4,34449.6,37252.8,39843.2
Tajikistan,1109.6,1407.2,1889.4,2321.4
Tanzania,1408.2,1612.4,1962.8,2305.6
Thailand,9075.6,9565,11674.4,13424.8
Timor-Leste,1546.4,1343.8,1393.6,2004.6
Togo,1317.6,1245.2,1222.4,1313.2
Tonga,4313.8,4828,4822,4968.2
Trinidad and Tobago,15267.6,20514.2,28899,29287.8
Tunisia,6635.4,7895.4,9505.2,10569.6
Turkey,12404,13027.6,15932.2,18020.4
Turkmenistan,4655.4,5552.8,7931.2,12434
Turks and Caicos Islands,14649.6,16201.2,20510.6,20330
Tuvalu,2847.8,3160.2,3214.4,3455
Uganda,977.8,1109.6,1363,1600.6
Ukraine,4629.4,5798,7978.4,8210
United Arab Emirates,105789.6,107918.2,82987.6,57906.8
United Kingdom,29813,34187.8,37182.4,36769.2
United States,41925.6,46837.6,50062.8,50620.6
Uruguay,12654.6,12043.4,14406.4,18541.6
Uzbekistan,2291,2636.4,3481.8,4724.8
Vanuatu,2679.8,2600.8,2823.6,2899.6
Venezuela,15149.2,13595.4,16684.8,17083.6
West Bank and Gaza,3598.2,3962.4,4093,4471
Vietnam,2306,2942.2,3884.8,4922
Yemen,3763,4094,4376.6,3951.6
Zambia,2160.2,2335.2,2907.2,3676.8
Zimbabwe,2597,2213.4,1504.8,1681.2
South Sudan,2315.6,2865.8,3601.4,2738.4
