Country,Wave3,Wave4,Wave5,Wave6
Turkey,136.6046964,219.5859113,515.1919801,678.1133255
Turkmenistan,30.49040962,73.76065882,108.752773,106.0793845
Tuvalu,117.9644445,299.3142974,470.428914,568.0787481
Uganda,16.31731371,18.23881044,37.7791568,46.71865246
Ukraine,51.35620262,59.79655947,184.2276269,234.3566138
United Arab Emirates,781.1455857,915.8555133,1314.756464,1449.923413
United Kingdom,1551.601936,2196.063019,3532.129779,3502.842845
United States,4077.635693,5504.204413,7377.940598,8361.732117
Uruguay,655.3601414,412.1449999,598.9603773,998.2614979
Uzbekistan,33.76618062,25.08783178,48.82669612,82.42976953
Vanuatu,46.89732312,54.80656692,89.56949984,157.3404802
Venezuela,160.3355632,241.1804572,489.3640235,663.3875713
Vietnam,16.65728208,24.43554547,57.90471387,82.87217737
Yemen,25.74714696,30.8861058,56.58453813,63.1929881
Zambia,21.74355996,24.01769137,58.49920986,72.88434552
Zimbabwe,52.13960362,62.88547282,62.88547282,62.88547282
