source,target,value
Gamgee,Graphics,2
Gamgee,HCI,4
Gamgee,UX,3
Gandalf,IVIS,4
Gandalf,Stats,6
Gandalf,Math,8
Gandalf,Art,1
Gandalf,User,9
Gandalf,Prog,8
Gandalf,Graphics,6
Gandalf,HCI,5
Gandalf,UX,5
Gimli,IVIS,3
Gimli,Stats,3
Gimli,Math,4
Gimli,Art,9
Gimli,User,7
Gimli,Prog,1
Gimli,Graphics,1
Gimli,HCI,1
Gimli,UX,1
Gollum,IVIS,4
Gollum,Stats,2
Gollum,Math,2
Gollum,Art,4
Gollum,User,9
Gollum,Prog,1
Gollum,Graphics,1
Gollum,HCI,1
Gollum,UX,6
Gorbag,IVIS,5
Gorbag,Stats,2
Gorbag,Math,5
Gorbag,Art,5
Gorbag,User,9
Gorbag,Prog,7
Gorbag,Graphics,3
Gorbag,HCI,6
Gorbag,UX,3
Grimbold,IVIS,4
Grimbold,Stats,4
Grimbold,Math,7
Grimbold,Art,5
Grimbold,User,9
Grimbold,Prog,6
Grimbold,Graphics,1
Grimbold,HCI,1
Grimbold,UX,4
Grishnakh,IVIS,5
Grishnakh,Stats,8
Grishnakh,Math,6
Grishnakh,Art,2
Grishnakh,User,7
Grishnakh,Prog,8
Grishnakh,Graphics,5
Grishnakh,HCI,4
Grishnakh,UX,3
Haldir,IVIS,3
Haldir,Stats,3
Haldir,Math,4
Haldir,Art,7
Haldir,User,8
Haldir,Prog,2
Haldir,Graphics,1
Haldir,HCI,2
Haldir,UX,2
Haleth,IVIS,2
Haleth,Stats,3
Haleth,Math,3
Haleth,Art,4
Haleth,User,6
Haleth,Prog,3
Haleth,Graphics,1
Haleth,HCI,4
Haleth,UX,5
Hama,IVIS,7
Hama,Stats,8
Hama,Math,8
Hama,Art,7
Hama,User,9
Hama,Prog,8
Hama,Graphics,8
Hama,HCI,7
Hama,UX,8
Hardang,IVIS,2
Hardang,Stats,4
Hardang,Math,7
Hardang,Art,9
Hardang,User,7
Hardang,Prog,2
Hardang,Graphics,2
Hardang,HCI,3
Hardang,UX,8
Idril,IVIS,6
Idril,Stats,3
Idril,Math,3
Idril,Art,8
Idril,User,10
Idril,Prog,5
Idril,Graphics,3
Idril,HCI,5
Idril,UX,5
Irolas,IVIS,5
Irolas,Stats,4
Irolas,Math,5
Irolas,Art,2
Irolas,User,7
Irolas,Prog,7
Irolas,Graphics,4
Irolas,HCI,6
Irolas,UX,5
Isildur,IVIS,4
Isildur,Stats,5
Isildur,Math,5
Isildur,Art,4
Isildur,User,8
Isildur,Prog,8
Isildur,Graphics,3
Isildur,HCI,5
Isildur,UX,5
Kili,IVIS,3
Kili,Stats,5
Kili,Math,5
Kili,Art,1
Kili,User,6
Kili,Prog,6
Kili,Graphics,3
Kili,HCI,5
Kili,UX,8
Legolas,IVIS,4
Legolas,Stats,4
Legolas,Math,4
Legolas,Art,7
Legolas,User,8
Legolas,Prog,8
Legolas,Graphics,4
Legolas,HCI,4
Legolas,UX,4
Lindir,IVIS,2
Lindir,Stats,2
Lindir,Math,5
Lindir,Art,2
Lindir,User,7
Lindir,Prog,4
Lindir,Graphics,1
Lindir,HCI,4
Lindir,UX,4
Lurtz,IVIS,3
Lurtz,Stats,6
Lurtz,Math,7
Lurtz,Art,6
Lurtz,User,8
Lurtz,Prog,8
Lurtz,Graphics,3
Lurtz,HCI,4
Lurtz,UX,5
Madril,IVIS,4
Madril,Stats,4
Madril,Math,5
Madril,Art,4
Madril,User,9
Madril,Prog,5
Madril,Graphics,2
Madril,HCI,7
Madril,UX,5
Maiar,IVIS,6
Maiar,Stats,5
Maiar,Math,5
Maiar,Art,7
Maiar,User,7
Maiar,Prog,4
Maiar,Graphics,2
Maiar,HCI,5
Maiar,UX,6
Mauhur,IVIS,7
Mauhur,Stats,2
Mauhur,Math,5
Mauhur,Art,8
Mauhur,User,9
Mauhur,Prog,6
Mauhur,Graphics,2
Mauhur,HCI,6
Mauhur,UX,7
Merry,IVIS,5
Merry,Stats,6
Merry,Math,7
Merry,Art,8
Merry,User,7
Merry,Prog,6
Merry,Graphics,4
Merry,HCI,4
Merry,UX,8
Morwen,IVIS,3
Morwen,Stats,5
Morwen,Math,4
Morwen,Art,3
Morwen,User,10
Morwen,Prog,6
Morwen,Graphics,2
Morwen,HCI,7
Morwen,UX,5
Nessa,IVIS,1
Nessa,Stats,1
Nessa,Math,1
Nessa,Art,2
Nessa,User,2
Nessa,Prog,1
Nessa,Graphics,1
Nessa,HCI,1
Nessa,UX,2
Ohtar,IVIS,2
Ohtar,Stats,2
Ohtar,Math,1
Ohtar,Art,3
Ohtar,User,4
Ohtar,Prog,4
Ohtar,Graphics,1
Ohtar,HCI,2
Ohtar,UX,2
Oin,IVIS,7
Oin,Stats,5
Oin,Math,8
Oin,Art,5
Oin,User,8
Oin,Prog,9
Oin,Graphics,7
Oin,HCI,9
Oin,UX,7
Otho,IVIS,6
Otho,Stats,3
Otho,Math,4
Otho,Art,6
Otho,User,10
Otho,Prog,7
Otho,Graphics,5
Otho,HCI,9
Otho,UX,7
Pelendur,IVIS,2
Pelendur,Stats,5
Pelendur,Math,4
Pelendur,Art,3
Pelendur,User,4
Pelendur,Prog,5
Pelendur,Graphics,4
Pelendur,HCI,4
Pelendur,UX,1
Pippin,IVIS,7
Pippin,Stats,2
Pippin,Math,2
Pippin,Art,8
Pippin,User,10
Pippin,Prog,7
Pippin,Graphics,2
Pippin,HCI,5
Pippin,UX,2
Quickbeam,IVIS,3
Quickbeam,Stats,3
Quickbeam,Math,5
Quickbeam,Art,8
Quickbeam,User,8
Quickbeam,Prog,2
Quickbeam,Graphics,3
Quickbeam,HCI,3
Quickbeam,UX,3
Rian,IVIS,3
Rian,Stats,5
Rian,Math,5
Rian,Art,2
Rian,User,8
Rian,Prog,5
Rian,Graphics,3
Rian,HCI,4
Rian,UX,4
Sam,IVIS,6
Sam,Stats,3
Sam,Math,5
Sam,Art,9
Sam,User,8
Sam,Prog,4
Sam,Graphics,4
Sam,HCI,4
Sam,UX,9
Sauron,IVIS,3
Sauron,Stats,9
Sauron,Math,7
Sauron,Art,2
Sauron,User,9
Sauron,Prog,6
Sauron,Graphics,5
Sauron,HCI,3
Sauron,UX,3
Shagrat,IVIS,3
Shagrat,Stats,3
Shagrat,Math,5
Shagrat,Art,6
Shagrat,User,7
Shagrat,Prog,2
Shagrat,Graphics,1
Shagrat,HCI,1
Shagrat,UX,4
Sharku,IVIS,2
Sharku,Stats,7
Sharku,Math,5
Sharku,Art,4
Sharku,User,6
Sharku,Prog,1
Sharku,Graphics,1
Sharku,HCI,1
Sharku,UX,8
Smaug,IVIS,7
Smaug,Stats,4
Smaug,Math,4
Smaug,Art,6
Smaug,User,10
Smaug,Prog,8
Smaug,Graphics,5
Smaug,HCI,7
Smaug,UX,6
Smeagol,IVIS,3
Smeagol,Stats,3
Smeagol,Math,5
Smeagol,Art,7
Smeagol,User,9
Smeagol,Prog,3
Smeagol,Graphics,2
Smeagol,HCI,3
Smeagol,UX,8
Theoden,IVIS,3
Theoden,Stats,5
Theoden,Math,8
Theoden,Art,1
Theoden,User,9
Theoden,Prog,2
Theoden,Graphics,1
Theoden,HCI,1
Theoden,UX,3
Theodred,IVIS,4
Theodred,Stats,8
Theodred,Math,8
Theodred,Art,5
Theodred,User,9
Theodred,Prog,7
Theodred,Graphics,9
Theodred,HCI,8
Theodred,UX,4
Thorin,IVIS,7
Thorin,Stats,6
Thorin,Math,7
Thorin,Art,2
Thorin,User,10
Thorin,Prog,8
Thorin,Graphics,6
Thorin,HCI,7
Thorin,UX,7
Ugluk,IVIS,4
Ugluk,Stats,3
Ugluk,Math,5
