Country,Wave3,Wave4,Wave5,Wave6
Senegal,0.6,0.6,0.51,0.51
Serbia,11.09,11.09,12.21,12.21
Seychelles,10.59,10.59,12.11,12.11
Sierra Leone,9.72,9.72,9.48,9.48
Singapore,1.55,1.55,1.54,1.54
Slovakia,13.33,13.33,13.31,13.31
Slovenia,15.19,15.19,14.94,14.94
Solomon Islands,1.66,1.66,1.37,1.37
Somalia,0.5,0.5,0.5,0.5
South Africa,9.46,9.46,10.16,10.16
South Korea,,,19.15,19.15
Spain,11.62,11.62,11.83,11.83
Sri Lanka,0.79,0.79,0.81,0.81
Sudan,2.56,2.56,2.56,2.56
Suriname,6.09,6.09,6.56,6.56
Swaziland,5.7,5.7,5.05,5.05
Sweden,10.1,10.1,9.5,9.5
Switzerland,11.06,11.06,11.41,11.41
Syria,1.43,1.43,1.49,1.49
Tajikistan,3.39,3.39,3.39,3.39
Tanzania,6.75,6.75,7.86,7.86
Thailand,7.08,7.08,7.08,7.08
Timor-Leste,0.86,0.86,0.74,0.74
Togo,1.99,1.99,1.92,1.92
Tonga,3.78,3.78,3.92,3.92
Trinidad and Tobago,6.28,6.28,6.16,6.16
Tunisia,1.29,1.29,1.05,1.05
Turkey,2.87,2.87,3.02,3.02
Turkmenistan,4.63,4.63,5,5
Tuvalu,2.44,2.44,2.14,2.14
Uganda,11.93,11.93,16.4,16.4
Ukraine,15.6,15.6,17.47,17.47
United Arab Emirates,0.54,0.54,0.52,0.52
United Kingdom,13.37,13.37,13.24,13.24
United States,9.44,9.44,9.7,9.7
Uruguay,8.14,8.14,8.99,8.99
Uzbekistan,3.54,3.54,3.61,3.61
Vanuatu,0.93,0.93,0.96,0.96
Venezuela,8.23,8.23,7.6,7.6
Vietnam,3.77,3.77,3.91,3.91
Yemen,0.2,0.2,0.2,0.2
Zambia,3.85,3.85,3.56,3.56
Zimbabwe,5.08,5.08,4.96,4.96
